Таврійська губернська палата цивільного суду, м. Сімферополь Таврійської губернії	Сімферополь	-
Лохвицький районний суд, м. Лохвиця Лохвицького р-ну Лохвицького гебіту (період німецько-фашистської окупації Полтавської обл.)	Лохвиця	Полтавська
Лубенський окружний суд, м. Лубни Лубенського окр.	Лубни	Полтавська
Лубенський окружний суд, м. Лубни Лубенського пов.Полтавської губ.	Лубни	Полтавська
Лубенський повітовий суд, м. Лубни Київського намісництва, з 1796р. Малоросійської губ., з 1802 р. Лубенського пов. Полтавської губ.	Лубни	Полтавська
Лютенська волосна судово-земельна комісія, с.Лютенька Лютенської вол. Гадяцького пов. Полтавської губ.	Лютенька	Полтавська
Миргородський повітовий суд, м. Миргород Київського намісництва, 1796р. Чернігівської губ., з 1797р. Малоросійської губ., з 1802р. Полтавської губ.	Миргород	Полтавська
Мировий суддя 10-ї дільниці Гадяцького судово-мирового округу, с. Капустинці Капустинцівської вол. Гадяцького пов. Полтавської губ.	Капустинці	Полтавська
Мировий суддя 2-ї дільниці Лохвицького судово-мирового округу, с.Піски Лохвицького пов.Полтавської губ.	Піски	Полтавська
Мировий суддя 4-ї дільниці Лохвицького судово-мирового округу, с. Свиридівка Свиридівської вол. Лохвицького пов. Полтавської губ.	Свиридівка	Полтавська
Мировий суддя 6-ї дільниці Гадяцького судово-мирового округу, с. Веприк Веприцької вол. Гадяцького пов. Полтавської губ.	Веприк	Полтавська
Мировий суддя 6-ї дільниці Пирятинського судово-мирового округу, м. Пирятин Пирятинського пов. Полтавської губ.	Пирятин	Полтавська
Мировий суддя 8-ї дільниці Лубенського судово-мирового округу, м. Лубни Лубенського пов. Полтавської губ.	Лубни	Полтавська
Мировий суддя 8-ї дільниці Пирятинського судово-мирового округу, м. Пирятин Пирятинського пов. Полтавської губ.	Пирятин	Полтавська
Мировий суддя 9-ї дільниці Лохвицького судово-мирового округу, с. Івахники Івахниківської вол.Лохвицького пов.Полтавської губ.	Івахники	Полтавська
Мировий суддя Кишеньківського району, с. Кишеньки Кишеньківського р-ну Гадяцького гебіту (період німецько-фашистської окупації Полтавської обл.)	Кишеньки	Полтавська
Народний суд 10-го поділу Роменського округу, м.Лохвиця Лохвицького р-ну Роменського окр., до 1925р. Полтавської губ.	Лохвиця	Полтавська
Народний суд 10-ї дільниці Гадяцького повіту, с.Капустинці Капустинської вол. Гадяцького пов. Полтавської губ.	Капустинці	Полтавська
Народний суд 10-ї дільниці Лохвицького повіту, м.Лохвиця Лохвицького пов. Полтавської губ.	Лохвиця	Полтавська
