target,target_id,url,loser_id,loser_parsed,loser_was_linked,survivor_id,survivor_parsed_before,survivor_parsed_after
file,43c73481-3ec4-49fc-a143-65fc75811d81,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007821320_002_M9M2-VCZ,4b892ca5-7376-45a5-9d5f-16a7c9b210f6,ДАЧкО-(403-18-2+++403-18-2+++403-18-2),f,d7ba4edb-6402-42e6-8b33-76a16698ab2b,"ДАЧкО-(403-18-2+++403-18-2+++Ф. 403, о. 18, д. 2 Рождения 1775-1794 -- Бракосочетания, смерти 1775-1796)",ДАЧкО-(403-18-2+++403-18-2+++403-18-2)
file,03ba63d9-9ec5-43cd-b030-ad9857d72863,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007821320_004_M9M2-VCD,c792306a-91dc-4f95-8f72-607df6fd79b6,ДАЧкО-(403-18-4+++403-18-4+++403-18-4),f,49b22be7-8ca4-42be-b000-c828dd750a5c,"ДАЧкО-(403-18-4+++403-18-4+++Ф. 403, о. 18, д. 4 Рождения, бракосочетания, смерти 1822-1837 -- Брачные обыски 1832)",ДАЧкО-(403-18-4+++403-18-4+++403-18-4)
file,ec289593-2d1e-49e0-966b-4e3065bfd021,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=102841276,f888eee9-38c0-465b-84d4-68b51eed8d2a,ДАОО-(37_3_673+++37_3_673+++37_3_673),f,99eab7d2-f9cc-4e83-b988-973811c40a91,"ДАОО-(Ф. 37, on. 3, д. 673+++Ф. 37, on. 3, д. 673+++37-3-673_1843)",ДАОО-(37_3_673+++37_3_673+++37_3_673)
file,d89bb4e9-214b-4178-b8c1-3743ebd624a7,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=102841277,9e95e114-4846-4913-aeee-9d149ea7bd3c,ДАОО-(37_3_674+++37_3_674+++37_3_674_1),f,2510f501-5ccb-4423-ab1b-606f19831d1e,"ДАОО-(Ф. 37, on. 3, д. 674+++Ф. 37, on. 3, д. 674+++37-3-674_1843)",ДАОО-(37_3_674+++37_3_674+++37_3_674_1)
file,7cc38eea-6fab-4238-a1fa-90d0622f63ab,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=103175713,30bface8-66b5-4d75-97c6-63779194b2e3,ДАОО-(37-3-214 ч.1+++37-3-214 ч.1+++),t,23fca690-ca59-419a-849f-9b996194b934,ДАОО-(37_3_214  ч.1+++37_3_214  ч.1+++),ДАОО-(37_3_214+++37_3_214+++37_3_214_1)
file,7cc38eea-6fab-4238-a1fa-90d0622f63ab,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=103175713,753f36ed-ecaf-4299-8e25-3337780e71fb,ДАОО-(37_3_214+++37_3_214+++37_3_214_1),f,23fca690-ca59-419a-849f-9b996194b934,ДАОО-(37_3_214  ч.1+++37_3_214  ч.1+++),ДАОО-(37_3_214+++37_3_214+++37_3_214_1)
file,d6c6476b-db9a-40b4-a6fd-d5c600596ed8,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=103553873,51f8c0ba-a1c5-468a-8b76-a4ad4af330cd,ДАХО-(37_3_119+++37_3_119+++37_3_119),f,735d8a6b-96bf-4ed2-822c-f0e32d800003,ДАХО-(37-3-119+++37-3-119+++37-3-119_1807),ДАХО-(37_3_119+++37_3_119+++37_3_119)
file,3fc24896-6494-4573-a07d-1c8ad416c983,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=103559115,93bfe2b0-698a-4e33-8509-8201f952ad84,ДАОО-(37-3-170+++37-3-170+++37-3-170_1814),t,701a55a0-e4bb-4fdd-80dd-adf8e1cb4d9c,ДАОО-(37_3_170+++37_3_170+++37_3_170),ДАОО-(37_3_170+++37_3_170+++37_3_170_1)
file,3fc24896-6494-4573-a07d-1c8ad416c983,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=103559115,e506abfc-c425-476f-9e3c-b19587caf899,ДАОО-(37_3_170+++37_3_170+++37_3_170_1),f,701a55a0-e4bb-4fdd-80dd-adf8e1cb4d9c,ДАОО-(37_3_170+++37_3_170+++37_3_170),ДАОО-(37_3_170+++37_3_170+++37_3_170_1)
file,3fc24896-6494-4573-a07d-1c8ad416c983,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=103559116,f6258433-1642-435d-8ba4-aad39c3bef7d,ДАОО-(37_3_170+++37_3_170+++37_3_170_2),f,ed549adc-7eb6-4f67-8016-866be17e69ed,"ДАОО-(Ф. 37, on. 3, д. 170-2+++Ф. 37, on. 3, д. 170-2+++37-3-170-2_1814)",ДАОО-(37_3_170+++37_3_170+++37_3_170_2)
file,b0126922-3988-4376-a742-f6962768572d,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=103559118,39c4b4b3-8d84-47ea-be09-ac1013e45c0c,ДАОО-(37_3_172+++37_3_172+++37_3_172),f,648b6778-7278-4b89-a2e8-bbe83dec8af0,"ДАОО-(Ф. 37, on. 3, д. 172+++Ф. 37, on. 3, д. 172+++37-3-172_1814-1833)",ДАОО-(37_3_172+++37_3_172+++37_3_172)
file,81832dc4-beec-46a6-b9a5-b75e0d1f1464,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=103559148,2088d0c8-f803-48e6-8995-438ebb344514,ДАОО-(37-3-183+++37-3-183+++37-3-183_1816),t,6e27ee6a-d10f-47bd-b299-de19feb08db2,ДАОО-(37_3_183+++37_3_183+++37_3_183),ДАОО-(37_3_183+++37_3_183+++37_3_183_1)
file,81832dc4-beec-46a6-b9a5-b75e0d1f1464,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=103559148,7840f110-6068-4b96-bc53-16855835d083,ДАОО-(37_3_183+++37_3_183+++37_3_183_1),f,6e27ee6a-d10f-47bd-b299-de19feb08db2,ДАОО-(37_3_183+++37_3_183+++37_3_183),ДАОО-(37_3_183+++37_3_183+++37_3_183_1)
