online_copy_id,file_id,inv_code,sprava,parsed
c402785a-3072-403a-9293-5a8e85fc3c1c,475e0e56-1e97-43d0-bfb9-32b74e0f147b,27ДОД,80,ДАДнО-(Р-6508-27-дод.80+++Р-6508-27-дод.80+++Р-6508-27-дод.80)
c6d73028-3a51-489b-b621-5e18cd95de68,e8ae37c7-49de-45a4-9a21-c39343805897,27ДОД,82,ДАДнО-(Р-6508-27-дод.82+++Р-6508-27-дод.82+++Р-6508-27-дод.82)
fe6fb224-64fd-48d0-96cd-f0860cf9b1c0,eec5d227-a859-4b51-bebd-a404a0c08fa4,27ДОД,83,ДАДнО-(Р-6508-27-дод.83+++Р-6508-27-дод.83+++Р-6508-27-дод.83)
887f719a-946e-4378-9d89-9ff8ba4c3b90,87e66afb-e192-45b8-9714-d37e136baa40,28ДОД,11,ДАДнО-(Р-6508-28.дод-11+++Р-6508-28.дод-11+++Р-6508-28.дод-11)
746c40b8-50bc-470a-997f-e77b889686b8,7b9a8c98-83fc-4825-9b37-620b7cd0a472,28ДОД,12,ДАДнО-(Р-6508-28.дод-12+++Р-6508-28.дод-12+++Р-6508-28.дод-12)
cafc6fb9-e8a0-45d0-8c0b-f495a36f23b3,cae385fe-e57b-4ce6-b282-f353d255f3cc,28ДОД,2,ДАДнО-(Р-6508-28.дод-2+++Р-6508-28.дод-2+++Р-6508-28.дод-2)
65854ad8-f710-400d-af11-80a70efe39fc,43ac1ebc-c3ca-49e2-98c8-56e21afc149f,28ДОД,7,ДАДнО-(Р-6508-28дод.-7+++Р-6508-28дод.-7+++Р-6508-28дод.-7)
b3a09c16-c4a3-4524-93cb-4eba39c91cd6,a409f92d-5d25-4749-bd20-f24c5db7b672,28ДОД,8,ДАДнО-(Р-6508-28-дод.8+++Р-6508-28-дод.8+++Р-6508-28-дод.8)
ca37f442-de6b-4d0c-ac96-5f19893240f2,b2861713-bade-4db0-a287-5f14120ace31,29ДОД,11,ДАДнО-(Р-6508-29-дод.11+++Р-6508-29-дод.11+++Р-6508-29-дод.11)
c219e70f-6dcd-4d17-a792-d3df55b4d047,6c3cb053-d323-4ef2-9dc5-320d47f6a68c,29ДОД,12,"ДАДнО-(Р-6508-29-дод.12+++Р-6508-29-дод.12+++Р-6508-29-дод.12_1925,1929-1933)"
4d036f70-9bbd-4ee7-90f8-a6b83eaab17b,19f011d6-1c7f-4b2a-9f03-3b3dffc76efc,29ДОД,23,ДАДнО-(Р-6508-29-дод.23+++Р-6508-29-дод.23+++Р-6508-29-дод.23)
8b2bd8b2-d503-4da1-ac5d-0ddfc2b0759b,9961cd5b-1f40-4709-8c56-60a51d178231,29ДОД,26,ДАДнО-(Р-6508-29-дод.26+++Р-6508-29-дод.26+++Р-6508-29-дод.26_1928-1931)
6af94650-9ecb-43e8-a8dc-4a2a2da6cce1,52523376-ba81-4d46-9e04-fa44c07ef021,29ДОД,30,ДАДнО-(Р-6508-29-дод.30+++Р-6508-29-дод.30+++Р-6508-29-дод.30_1929-1933)
e37f505f-dab8-4992-bd3b-1c02ca6ad160,e1d68742-25a0-4b3e-bb46-850b763a4e9d,29ДОД,31,ДАДнО-(Р-6508-29-дод.31+++Р-6508-29-дод.31+++Р-6508-29-дод.31_1929-1933)
7a9b7aa0-0340-4336-b760-927ad2dbaa2f,9d900764-42cb-4a9c-94ac-6b25c0e7b064,29ДОД,34,ДАДнО-(Р-6508-29-дод.34+++Р-6508-29-дод.34+++Р-6508-29-дод.34_1929-1933)
68cf6808-985d-4279-8cb9-6af14a5b7869,a034172f-fe2a-4066-b749-3ed1de25f70e,29ДОД,5,ДАДнО-(Р-6508-29-дод.5+++Р-6508-29-дод.5+++Р-6508-29-дод.5)
568596fd-7aad-4da8-a11a-014edb7885db,6c2f439e-9918-433d-ad42-77bfc4ea903f,29ДОД,7,ДАДнО-(Р-6508-29-дод.7+++Р-6508-29-дод.7+++Р-6508-29-дод.7)
2de3ae8e-0caf-421e-9f85-c25a1a16dcf3,d9a915b9-63fb-45e5-90d1-b3ec6b0dc2a6,29ДОД,9,ДАДнО-(Р-6508-29-дод.9+++Р-6508-29-дод.9+++Р-6508-29-дод.9)
e7c6842a-b04a-4770-b2ef-467d6006afa8,49ff5825-dac7-47c4-b56f-9fc7071010a0,30ДОД,8,ДАДнО-(Р-6508-30-дод.8+++Р-6508-30-дод.8+++Р-6508-30-дод.8_1927)
f1687acd-e31a-4a9a-9e56-bb56d0ddfc6d,60eb0b9e-5637-40d8-9e2b-9e9940d6fe9c,30ДОД,9,ДАДнО-(Р-6508-30-дод.9+++Р-6508-30-дод.9+++Р-6508-30-дод.9_1927-1928)
5e72dbe3-9ca1-4050-ab35-43a6282fb885,28076f12-711b-48b9-b519-cb25b2eb2514,5ДОД,7,ДАДнО-(Р-6508-5дод.-7+++Р-6508-5дод.-7+++Р-6508-5дод.-7)
27658f26-0ac6-41c7-9c23-3e146e2eb34d,425af452-0ddb-40a1-99dd-7d76d91c81df,7ДОД,1,ДАДнО-(Р-6508-7дод.-1+++Р-6508-7дод.-1+++Р-6508-7-дод.1_1924-1932)
fb9d1ad1-a8ac-4691-bd43-4cc29391b5ef,512c727d-0c52-4c44-9b12-138c42dc6f8a,7ДОД,3,ДАДнО-(Р-6508-7дод.-3+++Р-6508-7дод.-3+++Р-6508-7-дод.3_1924-1933)
6cf6eb99-168d-4b77-85e4-1c9765d9f2e6,49a9bb2a-1e0d-42b5-8f1a-0a4794011f2c,7ДОД,5,ДАДнО-(Р-6508-7дод.-5+++Р-6508-7дод.-5+++Р-6508-7-дод.5_1935-1944)
