102	1	25	Метрична книга. Миколаївська церква, с. Олексіївка Андріївської вол. Бахмутського пов.	1891-1892	метрична книга|народження|смерть|шлюб	1	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії | Миколаївська церква, с. Олексіївка Андріївська волость Бахмутський повіт
102	1	26	Метрична книга. Миколаївська церква, с. Олексіївка Андріївської вол. Бахмутського пов.	1893-1895	метрична книга|народження|смерть|шлюб	1	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії | Миколаївська церква, с. Олексіївка Андріївська волость Бахмутський повіт
102	1	27	Метрична книга. Миколаївська церква, с. Олексіївка Андріївської вол. Бахмутського пов.	1891-1892	метрична книга|народження|смерть|шлюб	0	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії | Миколаївська церква, с. Олексіївка Андріївська волость Бахмутський повіт
102	1	28	Метрична книга. Миколаївська церква, с. Олексіївка Андріївської вол. Бахмутського пов.	1900-1902	метрична книга|смерть	1	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії | Миколаївська церква, с. Олексіївка Андріївська волость Бахмутський повіт
102	1	29		1903-1904		1	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії
102	1	30	Метрична книга. Миколаївська церква, с. Олексіївка Андріївської вол. Бахмутського пов.	1905-1906	метрична книга|народження|смерть|шлюб	1	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії | Миколаївська церква, с. Олексіївка Андріївська волость Бахмутський повіт
102	1	31	Метрична книга. Миколаївська церква, с. Олексіївка Андріївської вол. Бахмутського пов.	1907-1910	метрична книга|народження|смерть|шлюб	2	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії | Миколаївська церква, с. Олексіївка Андріївська волость Бахмутський повіт
102	1	32	Метрична книга. Миколаївська церква, с. Олексіївка Андріївської вол. Бахмутського пов.	1875-1876	метрична книга|народження|смерть|шлюб	2	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії | Миколаївська церква, с. Олексіївка Андріївська волость Бахмутський повіт
102	1	33	Метрична книга. Миколаївська церква, с. Олексіївка Андріївської вол. Бахмутського пов.	1907-1910	метрична книга|народження|смерть|шлюб	0	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії | Миколаївська церква, с. Олексіївка Андріївська волость Бахмутський повіт
102	1	34	Метрична книга. Миколаївська церква, с. Олексіївка Андріївської вол. Бахмутського пов.	1916-1916,1919-1920	метрична книга|народження	0	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії | Миколаївська церква, с. Олексіївка Андріївська волость Бахмутський повіт
103	1	16	Метрична книга. Миколаївська церква, с. Ясинувата Бахмутського пов.	1914-1914	метрична книга|народження	0	Єлізаветівське сільське правління Романівської волості Маріупольського повіту Катеринославської губернії | Миколаївська церква, с. Ясинувата Бахмутський повіт
106	1	6	Метрична книга. Вознесенська церква, с. Богославка Іванівської вол. Маріупольського пов.	1880-1881	метрична книга|шлюб	0	Вознесенська церква, с. Богославка Іванівська волость Маріупольський повіт
134	1	12	Метрична книга. Успенська церква, с. Гродівка Бахмутського пов.	1904-1905	метрична книга|народження	0	Успенська церква, с. Гродівка Бахмутський повіт
153	1	6	Метрична книга. Вознесенська церква, с. Мар'їнське Бахмутського пов.	1905-1905	метрична книга|народження	0	Вознесенська церква, с. Мар'їнське Бахмутський повіт
155	1	110	Метрична книга. Миколаївська церква, с. Миколаївка Слов'яносербського пов.	1839-1839	метрична книга|сповідальні відомості	0	Миколаївська церква, с. Миколаївка Слов'яносербський повіт | Миколаївська церква Бахмутського духовного правління, с. Миколаївка Слов'яносербського повіту Катеринославської губернії
162	1	6	Метрична книга. Миколаївська церква, слоб. Амвросіївка Амвросіївської вол.	1892-1892	метрична книга|народження	0	Миколаївська церква, слоб. Амвросіївка Амвросіївська волость
164	1	12	Метрична книга. Покровська церква, слоб. Кутєйнікове (слоб.  Степано-Кринська або Степано-Кутєйніківська)	1886-1886	метрична книга|смерть	0	Покровська церква, слоб. Кутєйнікове (слоб.  Степано-Кринська або Степано-Кутєйніківська)
171	1	14	Метрична книга. Покровська церква, слоб. Приют Андріївської вол.	1911-1912	метрична книга|шлюб	0	Покровська церква, слоб. Приют Андріївська волость
188	1	1	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1875-1876	метрична книга|народження|смерть|шлюб	0	Покровська церква, с. Зайцеве Бахмутський повіт
188	1	2	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1880-1883	метрична книга|народження|смерть|шлюб	1	Покровська церква, с. Зайцеве Бахмутський повіт
188	1	3	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1881-1882	метрична книга|народження|смерть|шлюб	2	Покровська церква, с. Зайцеве Бахмутський повіт
188	1	4	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1884-1884	метрична книга|народження|смерть|шлюб	1	Покровська церква, с. Зайцеве Бахмутський повіт
188	1	5	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1885-1885	метрична книга|народження|смерть|шлюб	0	Покровська церква, с. Зайцеве Бахмутський повіт
188	1	6	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1886-1886	метрична книга|народження|смерть|шлюб	1	Покровська церква, с. Зайцеве Бахмутський повіт
188	1	7	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1887-1888	метрична книга|народження|смерть|шлюб	1	Покровська церква, с. Зайцеве Бахмутський повіт
188	1	8	Метрична книга. Вознесенська церква, слоб. Торська Купянського пов.; Покровська церква, с. Зайцеве Бахмутського пов.	1889-1889	метрична книга|народження|смерть|шлюб	1	Покровська церква, с. Зайцеве Бахмутський повіт | Вознесенська церква, слоб. Торська Купянський повіт
188	1	9	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1890-1890	метрична книга|народження|смерть|шлюб	2	Покровська церква, с. Зайцеве Бахмутський повіт
188	1	10	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1891-1891	метрична книга|народження|смерть|шлюб	1	Покровська церква, с. Зайцеве Бахмутський повіт
188	1	11	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1892-1892	метрична книга|народження|смерть|шлюб	1	Покровська церква, с. Зайцеве Бахмутський повіт
188	1	12	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1893-1893	метрична книга|народження|смерть|шлюб	1	Покровська церква, с. Зайцеве Бахмутський повіт
188	1	13	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1894-1894	метрична книга|народження|смерть|шлюб	1	Покровська церква, с. Зайцеве Бахмутський повіт
188	1	14	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1895-1895	метрична книга|народження|смерть|шлюб	2	Покровська церква, с. Зайцеве Бахмутський повіт
