copy_id,parsed,ref,fond,complex,inv_code,file_code,method
9df7c5e1-04b3-4389-b33c-cea7c55240f8,ЦДНТА-(Р-17-3-9-3-991+++Р-17-3-9-3-991+++Р-17-3-9-3-991),Р-17-3-9-3-991,Р17,3-9,3,991,opys-explicit
dbdd0102-88bb-447e-9697-50f3aa979f24,ЦДНТА-(Р-17-3-9-3-994+++Р-17-3-9-3-994+++Р-17-3-9-3-994),Р-17-3-9-3-994,Р17,3-9,3,994,opys-explicit
858510c6-e270-4266-a54c-539b356cccec,ЦДНТА-(Р-17-3-9-3-975+++Р-17-3-9-3-975+++Р-17-3-9-3-975),Р-17-3-9-3-975,Р17,3-9,3,975,opys-explicit
a72b4c36-402f-42f6-a342-8b9d7348bfe4,ЦДНТА-(Р-17-3-9-3-1017+++Р-17-3-9-3-1017+++Р-17-3-9-3-1017),Р-17-3-9-3-1017,Р17,3-9,3,1017,opys-explicit
ee37093a-4340-4df8-8830-f78e460a8527,ЦДНТА-(Р-17-3-9-3-999+++Р-17-3-9-3-999+++Р-17-3-9-3-999),Р-17-3-9-3-999,Р17,3-9,3,999,opys-explicit
f5bbdac6-8e3e-4905-9db5-834c126dff72,ЦДНТА-(Р-17-3-9-3-1013+++Р-17-3-9-3-1013+++Р-17-3-9-3-1013),Р-17-3-9-3-1013,Р17,3-9,3,1013,opys-explicit
430d7048-0605-4411-8a97-121b3ca29d1e,ЦДНТА-(Р-17-3-9-3-1010+++Р-17-3-9-3-1010+++Р-17-3-9-3-1010),Р-17-3-9-3-1010,Р17,3-9,3,1010,opys-explicit
8252bf0c-f433-473e-8e69-19da5a4ec738,ЦДНТА-(Р-17-3-9-3-1024+++Р-17-3-9-3-1024+++Р-17-3-9-3-1024),Р-17-3-9-3-1024,Р17,3-9,3,1024,opys-explicit
23a03228-cdc3-4e52-a5e1-e06c82fe3e81,ЦДНТА-(Р-17-3-9-3-1039+++Р-17-3-9-3-1039+++Р-17-3-9-3-1039),Р-17-3-9-3-1039,Р17,3-9,3,1039,opys-explicit
62240239-e486-4938-a152-08d36ae9102a,ЦДНТА-(Р-17-3-9-3-1034+++Р-17-3-9-3-1034+++Р-17-3-9-3-1034),Р-17-3-9-3-1034,Р17,3-9,3,1034,opys-explicit
f9a6be35-9c8c-4117-8fb7-8a455ebb9373,ЦДНТА-(Р-17-3-9-3-1041+++Р-17-3-9-3-1041+++Р-17-3-9-3-1041),Р-17-3-9-3-1041,Р17,3-9,3,1041,opys-explicit
101fd89c-f4c4-4f9f-baa0-5e4167b5687f,ЦДНТА-(Р-17-3-9-3-1052+++Р-17-3-9-3-1052+++Р-17-3-9-3-1052),Р-17-3-9-3-1052,Р17,3-9,3,1052,opys-explicit
6976683d-dcd4-4164-9103-1c69c7d40e39,ЦДНТА-(Р-17-3-9-3-1060+++Р-17-3-9-3-1060+++Р-17-3-9-3-1060),Р-17-3-9-3-1060,Р17,3-9,3,1060,opys-explicit
9dd0cd00-551b-46b4-ae09-85f4307bc988,ЦДНТА-(Р-17-3-9-3-1065+++Р-17-3-9-3-1065+++Р-17-3-9-3-1065),Р-17-3-9-3-1065,Р17,3-9,3,1065,opys-explicit
5c35e1d3-25df-4034-be37-a3f2ab49b10b,ЦДНТА-(Р-17-3-9-3-1068+++Р-17-3-9-3-1068+++Р-17-3-9-3-1068),Р-17-3-9-3-1068,Р17,3-9,3,1068,opys-explicit
2d101ed0-6ea5-4edc-90d2-e8e66145998f,ЦДНТА-(Р-17-3-9-3-1077+++Р-17-3-9-3-1077+++Р-17-3-9-3-1077),Р-17-3-9-3-1077,Р17,3-9,3,1077,opys-explicit
e8215b88-f985-4432-8cd7-31d8882910e7,ЦДНТА-(Р-17-3-9-3-1094+++Р-17-3-9-3-1094+++Р-17-3-9-3-1094),Р-17-3-9-3-1094,Р17,3-9,3,1094,opys-explicit
28ce4da2-81ec-462d-a167-59af6fbaad84,ЦДНТА-(Р-17-3-9-3-1093+++Р-17-3-9-3-1093+++Р-17-3-9-3-1093),Р-17-3-9-3-1093,Р17,3-9,3,1093,opys-explicit
98847bf5-f8ba-4734-9b4d-3f7a710049ec,ЦДНТА-(Р-17-3-9-3-1108+++Р-17-3-9-3-1108+++Р-17-3-9-3-1108),Р-17-3-9-3-1108,Р17,3-9,3,1108,opys-explicit
04e9b5c9-d533-49dc-ad45-5ee02d59a863,ЦДНТА-(Р-17-3-9-3-1114+++Р-17-3-9-3-1114+++Р-17-3-9-3-1114),Р-17-3-9-3-1114,Р17,3-9,3,1114,opys-explicit
67596af6-af8c-40dc-b986-408afe8c8975,ЦДНТА-(Р-17-3-9-3-1116+++Р-17-3-9-3-1116+++Р-17-3-9-3-1116),Р-17-3-9-3-1116,Р17,3-9,3,1116,opys-explicit
cecb67cc-8a00-427a-8270-df41f9d7d1e4,ЦДНТА-(Р-17-3-9-3-1113+++Р-17-3-9-3-1113+++Р-17-3-9-3-1113),Р-17-3-9-3-1113,Р17,3-9,3,1113,opys-explicit
59479f25-3d28-40b4-ba7d-7f79a36056e7,ЦДНТА-(Р-17-3-9-3-1132+++Р-17-3-9-3-1132+++Р-17-3-9-3-1132),Р-17-3-9-3-1132,Р17,3-9,3,1132,opys-explicit
