arch,fond,inv,anomalies,min_anom,max_anom,body_p95,body_files,concat,yearlike,isolated,empty_shells
ДАВіО,904,38,1,23151,23151,23,23,1,0,0,0
ДАПО,Р2049,3,1,222,222,27,28,1,0,0,1
ЦДІАК,51,1,1,18240,18240,2618,2755,1,0,0,1
ДАХмО,Р6193,7,1,71010,71010,9706,10197,1,0,0,0
ДАЗпО,134,1,1,313,313,32,34,1,0,0,0
ДАКрО,Р242,3,1,674,674,84,89,1,0,0,0
ДАКрО,П5907,32,1,6812,6812,945,992,1,0,0,0
ЦДАМЛМ,76,1,1,1960,1960,77,81,0,1,0,1
ЦДІАК,98,2,1,2219,2219,334,351,1,0,0,1
ДАКрО,418,1,1,18479,18479,1864,19,1,0,0,0
ДАВіО,904,30,1,109288,109288,193,202,1,0,0,0
ДАЧкО,Р5625,1,1,80452,80452,13182,156,1,0,0,0
ЦДІАК,102,1,1,256,256,44,46,1,0,0,1
ДАХеО,259,13,1,24539,24539,26,27,1,0,0,0
ДАОО,1,174,1,221869,221869,54,53,1,0,0,0
ДАСО,1190,4,1,277,277,32,20,1,0,0,1
ДАХмО,685,6,1,351,351,38,40,1,0,0,0
ДАМО,122,1,1,4158,4158,473,497,1,0,0,0
ДАЧвО,2,1,1,317435,317435,1077,1130,1,0,0,0
ДАХмО,Р6193,6,1,78188,78188,9662,10171,1,0,0,0
ДАВіО,905,2,1,239,239,43,45,1,0,0,0
ДАКрО,646,1,1,28417,28417,28,29,1,0,0,0
ДААРК,316,1,1,40172,40172,58,59,1,0,0,0
ДАХеО,137,4,1,605,605,25,26,1,0,0,0
ДАПО,Б1,1,1,88042,88042,13394,225,0,0,1,1
ЦДІАК,127,850,1,3611878,3611878,606,293,1,0,0,0
ДАОО,37,5,1,238,238,23,24,1,0,0,0
ДАПО,Р6038,2,1,6098,6098,863,880,1,0,0,0
ДАЗкО,1552,1,1,25903,25903,3975,4163,1,0,0,1
ДАВіО,24,1,1,447457,447457,428,451,1,0,0,0
ДАКрО,115,1,1,42408,42408,41,43,1,0,0,0
ДАПО,Р3374,1,1,738819,738819,2818,2966,1,0,0,0
ДАВіО,904,27,1,32184,32184,210,221,1,0,0,0
ДАХеО,259,16,1,524,524,38,40,1,0,0,0
ДАЗкО,Р1606,4,1,36689,36689,76,80,1,0,0,0
ДАЛуО,126,30,1,6329,6329,197,202,1,0,0,0
ЦДАВО,3950,2,1,1924,1924,57,60,0,1,0,0
ДАЧвО,1245,2,1,6769,6769,350,365,1,0,0,0
ДАКрО,643,1,1,453,453,41,20,1,0,0,0
ДАКрО,185,1,1,534,534,94,93,1,0,0,0
ДАВіО,Р1554,4,1,3234,3234,79,48,0,0,1,0
ЦДІАК,127,178,1,2099,2099,146,60,0,0,1,0
ДАКрО,П5907,2,1,7069,7069,962,1011,1,0,0,0
ЦДАМЛМ,72,1,1,389,389,72,76,1,0,0,1
ДАКрО,Р1534,1,1,209,209,23,24,1,0,0,0
ДАВіО,407,1,1,107282,107282,104,109,1,0,0,0
ЦДІАК,2004,1,1,5771792,5771792,551,512,0,0,1,0
ДАВіО,904,28,1,5260,5260,59,58,1,0,0,0
ДАЛуО,126,20,1,34342,34342,64,67,1,0,0,0
ЦДІАК,127,389,1,1810,1810,202,120,0,1,0,0
ДАВоО,286,1,1,138407,138407,370,285,1,0,0,0
ДАХеО,137,25,1,24602,24602,4894,18,1,0,0,0
ДАЖО,1,36,1,13332,13332,2255,585,1,0,0,0
ДАКрО,122,1,1,437,437,29,30,1,0,0,0
ДАВіО,904,14,1,65284,65284,96,75,1,0,0,0
ДААРК,142,4,1,34168,34168,961,31,1,0,0,0
ДАДоО,229,1,1,1995,1995,118,20,0,1,0,0
ДАДоО,298,1,1,31163,31163,30,32,1,0,0,0
ДАВіО,177,1,1,120855,120855,1191,445,0,0,1,0
ДАОО,1,173,1,11856,11856,44,36,1,0,0,0
ДАВіО,904,29,1,84286,84286,176,185,1,0,0,0
ЦДАВО,3806,1,1,1901,1901,49,52,0,1,0,0
ДАЗкО,Р1606,12,1,24728,24728,31,33,1,0,0,0
ДАКрО,763,1,1,486,486,34,36,1,0,0,0
ДАЛуО,126,15,1,20318,20318,170,162,1,0,0,0
ДАКрО,П5907,8,1,5801,5801,948,995,1,0,0,0
ДАЧвО,1245,14,1,2330,2330,42,44,1,0,0,0
ДАЧгО,Р442,1,1,641,641,115,18,1,0,0,1
ДАЛуО,126,17,1,4413,4413,50,50,1,0,0,0
ЦДІАЛ,575,1,1,1829,1829,269,282,0,1,0,1
ДАКрО,189,1,1,69393,69393,68,70,1,0,0,0
