imp_id,imp_title,old_id,old_title,dist_km,full_sim
5a51a0af-cb83-4a9b-9f78-018b473c0354,Бубнів,605575d5-8daf-41d6-9bfd-bbdb4554f98e,"Церква Воскресіння Христового, с. Бубнів Микуличівська волость Володимир-Волинський повіт",0.71,0.09
5a51a0af-cb83-4a9b-9f78-018b473c0354,Бубнів,4f6e1cff-76f7-4926-8b79-089539a116bf,"Церква на честь Казанської ікони Божої Матері, с. Бубнів Микуличівська волость Володимир-Волинський повіт",0.71,0.08
a981ad8f-936f-4c33-b00d-f85bf6655b77,Бужани,868f9225-1da0-4976-af6f-33a586f9df55,"Каплиця, с. Бужани Бранівська волость Володимир-Волинський повіт",0.13,0.13
a981ad8f-936f-4c33-b00d-f85bf6655b77,Бужани,dd090a73-3744-4aa8-8021-3ffd18ae3691,"Церква Святого Архістратига Михаїла, с. Бужани Бранівська волость Володимир-Волинський повіт",0.13,0.09
ccc576cf-7c39-4a16-8033-c26d17db3ae1,Бузаки,dd6db046-357c-4496-ad72-add4f6edc7cd,"Церква Різдва Богородиці, с. Бузаки Ковельський повіт",0.26,0.14
ccc576cf-7c39-4a16-8033-c26d17db3ae1,Бузаки,832094ea-fb94-451f-a77a-c9637082031f,"Церква Різдва Пресвятої Богородиці, с. Бузаки Хотешівська волость Ковельський повіт",,0.09
6c79ea17-342f-4ae6-a430-3b90f45ffb81,Великий Порськ,f50260e1-c237-43fb-89fa-862d0db0cb4c,"Церква Святого Апостола і Євангеліста Луки, с. Великий Порськ Велицька волость Ковельський повіт",0.43,0.18
6c79ea17-342f-4ae6-a430-3b90f45ffb81,Великий Порськ,dedddea3-d011-4c76-887a-90855840e1ea,"Церква на честь Почаївської ікони Божої Матері, с. Великий Порськ Велицька волость Ковельський повіт",0.43,0.18
6c79ea17-342f-4ae6-a430-3b90f45ffb81,Великий Порськ,1b0ec083-0277-439c-9e26-fc4b3f21345c,"Церква Чудотворної Ікони Пресвятої Богоматері Почаєвської, с. Великий Порськ Ковельський повіт",0.43,0.19
b2eaa17f-23e6-4ead-8a95-ea32ae2fcab0,Вербова,ace87e86-0888-4e25-b300-600b249fbef5,"Митрофанівська церква, с. Вербова Ямпільський повіт Тиманівська волость",0.42,0.13
