full_code,oc_id,parsed
ДАСО-7720-6-297,2281c0ea-ccd3-4c03-9db9-83b3fd6429a5,"ДАСО-(7720-6-297+++7720-6-297+++Ф. 7720, о. 6, д. 297 Разводы 1929 (стр. 46-50))"
ДАСО-7720-6-297,91631bff-d284-4d50-9a3a-f0bba2e8135a,"ДАСО-(7720-6-297+++7720-6-297+++Ф. 7720, о. 6, д. 297 Разводы 1929 (стр. 24-31))"
ДАСО-7720-6-297,c14eba44-a446-42e8-96e7-1fc4737c78ff,"ДАСО-(7720-6-297+++7720-6-297+++Ф. 7720, о. 6, д. 297 Разводы 1929 (стр. 32-34))"
ДАСО-7720-6-297,c3c86a77-0f6b-4a51-a6ee-ff9a1746e69a,"ДАСО-(7720-6-297+++7720-6-297+++Ф. 7720, о. 6, д. 297 Разводы 1929 (стр. 6-12))"
ДАСО-7720-6-297,caddeb5c-8a20-4d60-b5f4-1883f9234e4f,"ДАСО-(7720-6-297+++7720-6-297+++Ф. 7720, о. 6, д. 297 Разводы 1929 (стр. 51-53))"
ДАСО-7720-6-297,7336b05f-9b08-4283-bd07-7cc9d76886f4,"ДАСО-(7720-6-297+++7720-6-297+++Ф. 7720, о. 6, д. 297 Разводы 1929 (стр. 54-55))"
ДАСО-7720-6-298,1699dd8f-b160-4b06-8d10-aae1bb267eea,"ДАСО-(7720-6-298+++7720-6-298+++Ф. 7720, о. 6, д. 298 Смерти 1929 (стр. 32-38))"
ДАСО-7720-6-298,69a6c296-5747-4013-9517-053d1de76343,"ДАСО-(7720-6-298+++7720-6-298+++Ф. 7720, о. 6, д. 298 Смерти 1929 (стр. 1-14))"
ДАСО-7720-6-298,86b39870-3236-4106-9a66-d3c911d155e6,"ДАСО-(7720-6-298+++7720-6-298+++Ф. 7720, о. 6, д. 298 Смерти 1929 (стр. 59-80))"
ДАСО-7720-6-298,ddcf2d68-c1ab-49d9-b8aa-7864da4a4d1e,"ДАСО-(7720-6-298+++7720-6-298+++Ф. 7720, о. 6, д. 298 Смерти 1929 (стр. 39-58))"
ДАСО-7720-6-298,cde7870a-8029-4c2d-b04f-a376ba2e236b,"ДАСО-(7720-6-298+++7720-6-298+++Ф. 7720, о. 6, д. 298 Смерти 1929 (стр. 15-20))"
ДАСО-7720-6-298,88346f1f-987e-4e8a-ac9b-b15ae813b61c,"ДАСО-(7720-6-298+++7720-6-298+++Ф. 7720, о. 6, д. 298 Смерти 1929 (стр. 28-31))"
ДАСО-7720-6-298,193a2e7f-e36d-4c38-b1b4-863eb189ea83,"ДАСО-(7720-6-298+++7720-6-298+++Ф. 7720, о. 6, д. 298 Смерти 1929 (стр. 21-27))"
ДАСО-7720-6-299,49b05a00-802a-4376-aeca-10f4f970e161,"ДАСО-(7720-6-299+++7720-6-299+++Ф. 7720, о. 6, д. 299 Смерти 1929 (стр. 32-47))"
ДАСО-7720-6-299,7a04b7bf-1167-44f6-b7b9-e2ecd77c5304,"ДАСО-(7720-6-299+++7720-6-299+++Ф. 7720, о. 6, д. 299 Смерти 1929 (стр. 1-9))"
ДАСО-7720-6-299,dd955fe1-381b-4469-acbb-a79399ff2577,"ДАСО-(7720-6-299+++7720-6-299+++Ф. 7720, о. 6, д. 299 Смерти 1929 (стр. 64-81))"
