target_full_code,inv,fs_sprava,spr_norm,action,oc_id,url
ЦДІАК-128-1-2458,1,2458,2458,create+link,5e84ce7d-5e55-4e1b-b1e4-0ad64bfbac08,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930606
ЦДІАК-128-1-2460,1,2460,2460,create+link,c0f526d7-e9b5-4aff-98ff-e42a1d55f44f,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930595
ЦДІАК-128-1-2461,1,2461,2461,create+link,40f7f8bf-7a41-4c81-8080-cbf5cfa11a62,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930603
ЦДІАК-128-1-2465,1,2465,2465,create+link,2d9306f9-2f9d-4859-8645-4d3c6c34a0af,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930609
ЦДІАК-128-1-2466,1,2466,2466,create+link,413bf73a-7a33-46e5-8135-ab90e53d6f3a,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930602
ЦДІАК-128-1-2467,1,2467,2467,create+link,1bc823c5-ca08-4c1f-a45b-d4eab4e45314,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930613
ЦДІАК-128-1-2468,1,2468,2468,create+link,82795bd4-e0ef-4f0c-b4f4-6b66159f531f,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930616
ЦДІАК-128-1-2469,1,2469,2469,create+link,6a5d5c8f-0869-411e-af8b-56e2a0bcc332,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930610
ЦДІАК-128-1-2470,1,2470,2470,create+link,e154c0e5-a19c-4a51-bbf1-8511c5eb1705,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930611
ЦДІАК-128-1-2472,1,2472,2472,create+link,c130fdaf-cd88-49d4-8f91-c889d59547fe,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930615
