old_full_code,new_full_code
ПЕРІОДИКА-1005-1923-73268,ПЕРІОДИКА-1005-1923-224
ПЕРІОДИКА-1005-1923-73269,ПЕРІОДИКА-1005-1923-21
ПЕРІОДИКА-1005-1923-73270,ПЕРІОДИКА-1005-1923-147
ПЕРІОДИКА-1005-1923-73271,ПЕРІОДИКА-1005-1923-145
ПЕРІОДИКА-1005-1923-73272,ПЕРІОДИКА-1005-1923-136
ПЕРІОДИКА-1005-1923-73273,ПЕРІОДИКА-1005-1923-99
ПЕРІОДИКА-1005-1923-73274,ПЕРІОДИКА-1005-1923-123
ПЕРІОДИКА-1005-1923-73275,ПЕРІОДИКА-1005-1923-58
ПЕРІОДИКА-1005-1923-73276,ПЕРІОДИКА-1005-1923-78
ПЕРІОДИКА-1005-1923-73277,ПЕРІОДИКА-1005-1923-173
ПЕРІОДИКА-1005-1923-73278,ПЕРІОДИКА-1005-1923-97
ПЕРІОДИКА-1005-1923-73279,ПЕРІОДИКА-1005-1923-76
ПЕРІОДИКА-1005-1923-73280,ПЕРІОДИКА-1005-1923-135
ПЕРІОДИКА-1005-1923-73281,ПЕРІОДИКА-1005-1923-98
ПЕРІОДИКА-1005-1923-73282,ПЕРІОДИКА-1005-1923-203
ПЕРІОДИКА-1005-1923-73283,ПЕРІОДИКА-1005-1923-165
ПЕРІОДИКА-1005-1923-73284,ПЕРІОДИКА-1005-1923-63
ПЕРІОДИКА-1005-1923-73285,ПЕРІОДИКА-1005-1923-92
ПЕРІОДИКА-1005-1923-73286,ПЕРІОДИКА-1005-1923-160
ПЕРІОДИКА-1005-1923-73287,ПЕРІОДИКА-1005-1923-34
ПЕРІОДИКА-1005-1923-73288,ПЕРІОДИКА-1005-1923-29
ПЕРІОДИКА-1005-1923-73289,ПЕРІОДИКА-1005-1923-229
ПЕРІОДИКА-1005-1923-73290,ПЕРІОДИКА-1005-1923-54
ПЕРІОДИКА-1005-1923-73291,ПЕРІОДИКА-1005-1923-189
ПЕРІОДИКА-1005-1923-73292,ПЕРІОДИКА-1005-1923-201
ПЕРІОДИКА-1005-1923-73293,ПЕРІОДИКА-1005-1923-204
ПЕРІОДИКА-1005-1923-73294,ПЕРІОДИКА-1005-1923-198
ПЕРІОДИКА-1005-1923-73295,ПЕРІОДИКА-1005-1923-12
ПЕРІОДИКА-1005-1923-73296,ПЕРІОДИКА-1005-1923-140
ПЕРІОДИКА-1005-1923-73297,ПЕРІОДИКА-1005-1923-221
ПЕРІОДИКА-1005-1923-73298,ПЕРІОДИКА-1005-1923-13
ПЕРІОДИКА-1005-1923-73299,ПЕРІОДИКА-1005-1923-28
ПЕРІОДИКА-1005-1923-73300,ПЕРІОДИКА-1005-1923-154
ПЕРІОДИКА-1005-1923-73301,ПЕРІОДИКА-1005-1923-105
ПЕРІОДИКА-1005-1923-73302,ПЕРІОДИКА-1005-1923-180
ПЕРІОДИКА-1005-1923-73303,ПЕРІОДИКА-1005-1923-52
ПЕРІОДИКА-1005-1923-73304,ПЕРІОДИКА-1005-1923-205
ПЕРІОДИКА-1005-1923-73305,ПЕРІОДИКА-1005-1923-132
ПЕРІОДИКА-1005-1923-73306,ПЕРІОДИКА-1005-1923-193
ПЕРІОДИКА-1005-1923-73307,ПЕРІОДИКА-1005-1923-127
ПЕРІОДИКА-1005-1923-73308,ПЕРІОДИКА-1005-1923-93
ПЕРІОДИКА-1005-1923-73309,ПЕРІОДИКА-1005-1923-30
ПЕРІОДИКА-1005-1923-73310,ПЕРІОДИКА-1005-1923-170
ПЕРІОДИКА-1005-1923-73311,ПЕРІОДИКА-1005-1923-18
ПЕРІОДИКА-1005-1923-73312,ПЕРІОДИКА-1005-1923-74
ПЕРІОДИКА-1005-1923-73313,ПЕРІОДИКА-1005-1923-56
ПЕРІОДИКА-1005-1923-73314,ПЕРІОДИКА-1005-1923-5
ПЕРІОДИКА-1005-1923-73315,ПЕРІОДИКА-1005-1923-107
ПЕРІОДИКА-1005-1923-73316,ПЕРІОДИКА-1005-1923-133
ПЕРІОДИКА-1005-1923-73317,ПЕРІОДИКА-1005-1923-24
ПЕРІОДИКА-1005-1923-73318,ПЕРІОДИКА-1005-1923-61
ПЕРІОДИКА-1005-1923-73319,ПЕРІОДИКА-1005-1923-88
ПЕРІОДИКА-1005-1923-73320,ПЕРІОДИКА-1005-1923-94
ПЕРІОДИКА-1005-1923-73321,ПЕРІОДИКА-1005-1923-44
ПЕРІОДИКА-1005-1923-73322,ПЕРІОДИКА-1005-1923-134
ПЕРІОДИКА-1005-1923-73323,ПЕРІОДИКА-1005-1923-161
ПЕРІОДИКА-1005-1923-73324,ПЕРІОДИКА-1005-1923-141
ПЕРІОДИКА-1005-1923-73325,ПЕРІОДИКА-1005-1923-82
ПЕРІОДИКА-1005-1923-73326,ПЕРІОДИКА-1005-1923-68
ПЕРІОДИКА-1005-1923-73327,ПЕРІОДИКА-1005-1923-77
ПЕРІОДИКА-1005-1923-73328,ПЕРІОДИКА-1005-1923-26
ПЕРІОДИКА-1005-1923-73329,ПЕРІОДИКА-1005-1923-126
ПЕРІОДИКА-1005-1923-73330,ПЕРІОДИКА-1005-1923-230
ПЕРІОДИКА-1006-1923-73331,ПЕРІОДИКА-1006-1923-236
ПЕРІОДИКА-1006-1923-73332,ПЕРІОДИКА-1006-1923-242
ПЕРІОДИКА-1006-1923-73333,ПЕРІОДИКА-1006-1923-169
ПЕРІОДИКА-1006-1923-73334,ПЕРІОДИКА-1006-1923-256
ПЕРІОДИКА-1006-1923-73335,ПЕРІОДИКА-1006-1923-234
ПЕРІОДИКА-1006-1923-73336,ПЕРІОДИКА-1006-1923-162
