seq	page	complex	fond_raw	title	opys	ranges	years	pdfs
483	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	15	1034-1039	1993	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_15pdf.pdf
484	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	16	1040-1046	1993	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_16pdf.pdf
485	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	17	1047-1053	1993	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_17pdf.pdf
486	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	18	1054-1059	1993	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_18pdf.pdf
487	opisi-2	2-377	Р-133	Прилади для визначення осмолярності сечі та крові	1	1-15	1995	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-377_1.pdf
488	opisi-2	2-378	Р-133	Монітори ритму серця	1	1-9	1993-1995	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-378_1.pdf
489	opisi-2	2-379	Р-133	Індикатор гідратації тканини	1	1-16	1994	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-379_1.pdf
490	opisi-2	2-380	Р-133	Електрокардіостимулятори	1	1-17	1980-1994	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-380_1.pdf
491	opisi-2	2-381	Р-248	Агрегати для розтарування сировини на Чернігівському заводі синтетичного волокна, м. Чернігів	1	1-20	1975	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-381_1.pdf
492	opisi-2	2-382	Р-248	Регенератори для очищення вентиляційного повітря	1	1-183	1975-1976	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-382_1.pdf
493	opisi-2	2-383	Р-55	Крани портальні	1	1-190	1972	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-383_1.pdf
494	opisi-2	2-384	Р-192	Верстат для електрохімічного маркування	1	1-45	1982-1985	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-384_1.pdf
495	opisi-2	2-385	Р-192	Автоматична лінія штампування державок прохідних різців	1	1-72	1984	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-385_1.pdf
496	opisi-2	2-386	Р-192	Напівавтомат полірувальний для полірування клинків кухонних ножів	1	1-49	1985-1985	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-386_1.pdf
497	opisi-2	2-387	Р-192	Верстат для розпилювання круглого лісоматеріалу	1	1-25	1991-1991	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-387_1.pdf
498	opisi-2	2-388	Р-192	Верстат електрохімічного матировання вальців	1	1	2000-2000	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-388_1.pdf
499	opisi-2	2-389	Р-78	Приводи для підприємств хімічної промисловості	1	1-62	1982-1982	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-389_1.pdf
500	opisi-2	2-391	Р-192	Устаткування для загартування деталей та корпусів	1	1-146	1959-1986	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-391_1.pdf
501	opisi-2	2-392	Р-192	Установка «Булат»	1	1-246	1977-1990	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-392_1.pdf
502	opisi-2	2-394	Р-95	Екструдери черв'ячні	1	1-142	1980-1985	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-394_1.pdf
503	opisi-2	2-395	Р-95	Лінії виробництва монониток	1	1-534	1978-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU__2-395_1.pdf
504	opisi-2	2-395	Р-95	Лінії виробництва монониток	2	535-1338	1980-1991	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-116_2.pdf
505	opisi-2	2-396	Р-95	Укладальник джгута волокна вугілля в контейнери	1	1-242	1976-1985	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-396_1.pdf
506	opisi-2	2-397	Р-95	Розплавники для виробництва хімічних волокон	1	1-173	1974-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-397_1.pdf
507	opisi-2	2-398	Р-95	Машини намотувальні та розмотувальні для виробництва хімічного волокна	1	1-194	1983-1985	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-398_1.pdf
508	opisi-2	2-399	Р-95	Агрегат полотноутворюючий	1	1-459	1981-1984	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-399_1.pdf
